# CVE GHSA TYPE FILE
CVE-2012-5377	GHSA-64cp-j7mg-j33g	unreviewed	cpansa/CPANSA-ActivePerl.yml
CVE-2006-2856	GHSA-8xc3-rg94-5c3f	unreviewed	cpansa/CPANSA-ActivePerl.yml
CVE-2004-2286	GHSA-8g3v-vx3x-982v	unreviewed	cpansa/CPANSA-ActivePerl.yml
CVE-2004-2022	GHSA-6g7x-c8vf-63fq	unreviewed	cpansa/CPANSA-ActivePerl.yml
CVE-2004-0377	GHSA-rm2p-jhqp-33q2	unreviewed	cpansa/CPANSA-ActivePerl.yml
CVE-2001-0815	GHSA-c5px-j32w-fcqp	unreviewed	cpansa/CPANSA-ActivePerl.yml
CVE-2019-20454	GHSA-6wcm-vmc4-h93p	unreviewed	cpansa/CPANSA-Alien-PCRE2.yml
CVE-2007-6342	GHSA-jfwf-chpc-fpf5	unreviewed	cpansa/CPANSA-Apache-AuthCAS.yml
CVE-2010-3845	GHSA-7rxx-w8q3-rg72	unreviewed	cpansa/CPANSA-Apache-AuthenHook.yml
CVE-2020-36659	GHSA-crqh-wr78-6jgr	unreviewed	cpansa/CPANSA-Apache-Session-Browseable.yml
CVE-2020-36658	GHSA-qf7m-fmfh-9c8v	unreviewed	cpansa/CPANSA-Apache-Session-LDAP.yml
CVE-2012-6141	GHSA-pw79-h962-2rw9	unreviewed	cpansa/CPANSA-App-Context.yml
CVE-2020-16154	GHSA-m92x-373g-xc36	unreviewed	cpansa/CPANSA-App-cpanminus.yml
CVE-2015-7686	GHSA-24jp-cwv2-qjwh	unreviewed	cpansa/CPANSA-App-Github-Email.yml
CVE-2016-1238	GHSA-hm5v-6984-hfqp	unreviewed	cpansa/CPANSA-App-japerl.yml
CVE-2013-1667	GHSA-wv37-679q-qgxw	unreviewed	cpansa/CPANSA-App-perlall.yml
CVE-2018-12015	GHSA-44r9-882w-xw5m	unreviewed	cpansa/CPANSA-Archive-Tar.yml
CVE-2007-4829	GHSA-rwhc-g7xj-h37q	unreviewed	cpansa/CPANSA-Archive-Tar.yml
CVE-2016-1238	GHSA-hm5v-6984-hfqp	unreviewed	cpansa/CPANSA-Archive-Tar.yml
CVE-2018-10860	GHSA-46vh-339r-h4rg	unreviewed	cpansa/CPANSA-Archive-Zip.yml
CVE-2004-1096	GHSA-wf22-9wqx-hv9r	unreviewed	cpansa/CPANSA-Archive-Zip.yml
CVE-2011-4117	GHSA-2mgm-x4fm-vrg8	unreviewed	cpansa/CPANSA-Batch-Batchrun.yml
CVE-2014-1875	GHSA-mx62-7r33-gq29	unreviewed	cpansa/CPANSA-Capture-Tiny.yml
CVE-2017-16248	GHSA-mg54-fgxw-pmj5	unreviewed	cpansa/CPANSA-Catalyst-Plugin-Static-Simple.yml
CVE-2013-7329	GHSA-mvgv-xmhx-5f65	unreviewed	cpansa/CPANSA-CGI-Application.yml
CVE-2006-1279	GHSA-xxvm-h45q-hvv9	unreviewed	cpansa/CPANSA-CGI-Session.yml
CVE-2010-4410	GHSA-63qf-cwcv-ff3r	unreviewed	cpansa/CPANSA-CGI-Simple.yml
CVE-2010-2761	GHSA-8x6h-gq6j-8x3j	unreviewed	cpansa/CPANSA-CGI-Simple.yml
CVE-2012-5526	GHSA-9x3m-wmpr-vc58	unreviewed	cpansa/CPANSA-CGI.yml
CVE-2011-2766	GHSA-57h3-ccpr-f6f8	unreviewed	cpansa/CPANSA-CGI.yml
CVE-2010-4411	GHSA-wj7r-99wr-72wm	unreviewed	cpansa/CPANSA-CGI.yml
CVE-2010-2761	GHSA-8x6h-gq6j-8x3j	unreviewed	cpansa/CPANSA-CGI.yml
CVE-2014-5509	GHSA-fxwp-mh6r-g9mm	unreviewed	cpansa/CPANSA-Clipboard.yml
CVE-2010-0405	GHSA-44gv-7gp8-m9mw	unreviewed	cpansa/CPANSA-Compress-Raw-Bzip2.yml
CVE-2009-1884	GHSA-4x36-p66f-4f99	unreviewed	cpansa/CPANSA-Compress-Raw-Bzip2.yml
CVE-2009-1391	GHSA-353f-jcfv-fpmh	unreviewed	cpansa/CPANSA-Compress-Raw-Zlib.yml
